taskNum,completionTime,angleDiff,errors
1,7063,0.785338,0
2,18523,1.4116421,0
3,7995,1.7223301,0
4,14175,3.4669557,0
5,12661,2.1565793,0
6,9941,0.97155553,0
7,10829,3.833055,0
8,7660,1.3440427,0
9,11826,1.7887619,0
10,12942,1.8388199,0
11,20539,2.990819,0
12,13022,2.9756005,0
13,15392,1.6056763,0
14,21488,2.9101675,0
15,11192,1.8742346,0
16,20424,2.1789658,1
17,18189,2.9829566,2
18,4697,1.4439849,0
19,4296,4.2408667,0
20,5247,4.3971148,0
21,6213,0.9553075,0
22,11291,1.9798406,0
23,6844,2.660619,0
24,7165,2.1612923,0
25,14923,2.1423774,0
